elapsed_ms,label,r,g,b
45857,rate_50,0,0,255
45886,rate_50,255,0,0
45913,rate_50,0,0,255
45942,rate_50,255,0,0
45969,rate_50,0,0,255
45996,rate_50,255,0,0
46024,rate_50,0,0,255
46052,rate_50,255,0,0
46080,rate_50,0,0,255
46115,rate_50,255,0,0
46145,rate_50,0,0,255
46173,rate_50,255,0,0
46203,rate_50,0,0,255
46232,rate_50,255,0,0
46260,rate_50,0,0,255
46287,rate_50,255,0,0
46316,rate_50,0,0,255
46343,rate_50,255,0,0
46369,rate_50,0,0,255
46400,rate_50,255,0,0
46427,rate_50,0,0,255
46454,rate_50,255,0,0
46484,rate_50,0,0,255
46512,rate_50,255,0,0
46541,rate_50,0,0,255
46569,rate_50,255,0,0
46596,rate_50,0,0,255
46628,rate_50,255,0,0
46652,rate_50,0,0,255
46677,rate_50,255,0,0
46702,rate_50,0,0,255
46729,rate_50,255,0,0
46756,rate_50,0,0,255
46782,rate_50,255,0,0
46811,rate_50,0,0,255
46838,rate_50,255,0,0
46866,rate_50,0,0,255
46893,rate_50,255,0,0
46925,rate_50,0,0,255
46955,rate_50,255,0,0
46987,rate_50,0,0,255
47019,rate_50,255,0,0
47050,rate_50,0,0,255
47084,rate_50,255,0,0
47117,rate_50,0,0,255
47149,rate_50,255,0,0
47179,rate_50,0,0,255
47211,rate_50,255,0,0
47238,rate_50,0,0,255
47268,rate_50,255,0,0
47298,rate_50,0,0,255
47350,rate_50,255,0,0
47390,rate_50,0,0,255
47415,rate_50,255,0,0
47440,rate_50,0,0,255
47465,rate_50,255,0,0
47496,rate_50,0,0,255
47521,rate_50,255,0,0
47549,rate_50,0,0,255
47581,rate_50,255,0,0
47611,rate_50,0,0,255
47644,rate_50,255,0,0
47674,rate_50,0,0,255
47706,rate_50,255,0,0
47735,rate_50,0,0,255
47776,rate_50,255,0,0
47806,rate_50,0,0,255
47835,rate_50,255,0,0
47867,rate_50,0,0,255
47897,rate_50,255,0,0
47929,rate_50,0,0,255
47957,rate_50,255,0,0
47985,rate_50,0,0,255
48013,rate_65_marker,0,0,0
48727,rate_65,255,0,0
48749,rate_65,0,0,255
48776,rate_65,255,0,0
48800,rate_65,0,0,255
48824,rate_65,255,0,0
48849,rate_65,0,0,255
48871,rate_65,255,0,0
48893,rate_65,0,0,255
48914,rate_65,255,0,0
48937,rate_65,0,0,255
48960,rate_65,255,0,0
48985,rate_65,0,0,255
49008,rate_65,255,0,0
49031,rate_65,0,0,255
49054,rate_65,255,0,0
49076,rate_65,0,0,255
49099,rate_65,255,0,0
49121,rate_65,0,0,255
49144,rate_65,255,0,0
49166,rate_65,0,0,255
49189,rate_65,255,0,0
49212,rate_65,0,0,255
49235,rate_65,255,0,0
49258,rate_65,0,0,255
49280,rate_65,255,0,0
49302,rate_65,0,0,255
49325,rate_65,255,0,0
49347,rate_65,0,0,255
49369,rate_65,255,0,0
49393,rate_65,0,0,255
49415,rate_65,255,0,0
49438,rate_65,0,0,255
49464,rate_65,255,0,0
49487,rate_65,0,0,255
49510,rate_65,255,0,0
49533,rate_65,0,0,255
49565,rate_65,255,0,0
49590,rate_65,0,0,255
49615,rate_65,255,0,0
49637,rate_65,0,0,255
49660,rate_65,255,0,0
49683,rate_65,0,0,255
49706,rate_65,255,0,0
49729,rate_65,0,0,255
49754,rate_65,255,0,0
49780,rate_65,0,0,255
49803,rate_65,255,0,0
49827,rate_65,0,0,255
49850,rate_65,255,0,0
49872,rate_65,0,0,255
49895,rate_65,255,0,0
49918,rate_65,0,0,255
49941,rate_65,255,0,0
49964,rate_65,0,0,255
49988,rate_65,255,0,0
50011,rate_65,0,0,255
50033,rate_65,255,0,0
50056,rate_65,0,0,255
50079,rate_65,255,0,0
50101,rate_65,0,0,255
50124,rate_65,255,0,0
50147,rate_65,0,0,255
50170,rate_65,255,0,0
50191,rate_65,0,0,255
50214,rate_65,255,0,0
50236,rate_65,0,0,255
50259,rate_65,255,0,0
50282,rate_65,0,0,255
50306,rate_65,255,0,0
50328,rate_65,0,0,255
50351,rate_65,255,0,0
50375,rate_65,0,0,255
50398,rate_65,255,0,0
50421,rate_65,0,0,255
50453,rate_65,255,0,0
50474,rate_65,0,0,255
50496,rate_65,255,0,0
50519,rate_65,0,0,255
50541,rate_65,255,0,0
50566,rate_65,0,0,255
50590,rate_65,255,0,0
50615,rate_65,0,0,255
50637,rate_65,255,0,0
50661,rate_65,0,0,255
50686,rate_65,255,0,0
50709,rate_65,0,0,255
50731,rate_65,255,0,0
50754,rate_65,0,0,255
50784,rate_65,255,0,0
50808,rate_65,0,0,255
50830,rate_65,255,0,0
50854,rate_65,0,0,255
50877,rate_65,255,0,0
50904,rate_65,0,0,255
50930,rate_65,255,0,0
50956,rate_65,0,0,255
50979,rate_65,255,0,0
51004,rate_65,0,0,255
51026,rate_65,255,0,0
51053,rate_65,0,0,255
51075,rate_65,255,0,0
51104,rate_65,0,0,255
51128,rate_65,255,0,0
51151,rate_65,0,0,255
51173,rate_65,255,0,0
51197,rate_65,0,0,255
51219,rate_65,255,0,0
51242,rate_65,0,0,255
51265,rate_65,255,0,0
51287,rate_65,0,0,255
51311,rate_65,255,0,0
51333,rate_65,0,0,255
51356,rate_65,255,0,0
51378,rate_65,0,0,255
51401,rate_65,255,0,0
51425,rate_65,0,0,255
51449,rate_65,255,0,0
51470,rate_65,0,0,255
51495,rate_65,255,0,0
51517,rate_65,0,0,255
51541,rate_65,255,0,0
51567,rate_65,0,0,255
51591,rate_65,255,0,0
51616,rate_65,0,0,255
51640,rate_65,255,0,0
51662,rate_65,0,0,255
51688,rate_65,255,0,0
51713,rate_65,0,0,255
51735,rate_65,255,0,0
51757,rate_65,0,0,255
51780,rate_65,255,0,0
51805,rate_65,0,0,255
51828,rate_65,255,0,0
51851,rate_65,0,0,255
51873,rate_65,255,0,0
51897,rate_65,0,0,255
